@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, positive
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, positive
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, positive
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, positive
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, positive
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, positive
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, positive
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, positive
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, positive
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, positive
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, positive
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, positive
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, positive
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, positive
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, positive
0.61, 0.66, 0.48, 0.5, 0.46, 0.87, 0.88, negative
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, negative
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, negative
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, negative
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, negative
0.74, 0.44, 0.48, 0.5, 0.55, 0.88, 0.89, negative
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, negative
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, negative
