@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, positive
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, positive
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, positive
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, positive
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, positive
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, positive
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, positive
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, positive
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, positive
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, positive
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, positive
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, positive
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, positive
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, positive
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, positive
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, positive
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, positive
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, positive
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, positive
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, positive
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, positive
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, positive
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, positive
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, positive
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, positive
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, positive
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, positive
0.61, 0.66, 0.48, 0.5, 0.46, 0.87, 0.88, negative
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, negative
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, negative
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, negative
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, negative
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, negative
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, negative
0.74, 0.44, 0.48, 0.5, 0.55, 0.88, 0.89, negative
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, negative
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, negative
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, negative
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, negative
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, negative
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, negative
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, negative
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, negative
